Date,symbol,stocks,cmp,dRSI,wRSI,mRSI,sector,ema20,ema50,latestChange,weeklyChange,monthlyChange
28th Jan	DELHIVERY	DELHIVERY	407.75	53.05	47.81	49.9	transportation	400.24	410.79	1.85	5.33	0.966
28th Jan	LICI	LICI	822.15	43.45	39.79	45.95	financials	827.89	849.62	1.78	2.46	-3.83
28th Jan	RAINBOW	RAINBOW	1188.2	24.16	30.31	45.58	healthcare	1248.12	1297.64	-0.025	0.219	-9.98
28th Jan	CAMPUS	CAMPUS	253.05	46.31	41.62	44.83	consumer discretionary	254.15	260.61	3.69	1.06	-3.4
28th Jan	MSUMI	MSUMI	43.32	39.29	46.38	52.67	auto	45.42	46.11	2.53	0.791	-10.72
28th Jan	MANYAVAR	MANYAVAR	485.45	21.43	13.41	28	consumer discretionary	526.7	570.26	-1.54	0.196	-16.6
28th Jan	AWL	AWL	209.79	23.11	27.09	36.2	fmcg	220.08	235.19	1.06	0.349	-11.59
28th Jan	DATAPATTNS	DATAPATTNS	2610.6	54.05	49.36	53.79	aerospace & defence	2488.35	2603.12	13.63	19.62	-0.609
28th Jan	MAPMYINDIA	MAPMYINDIA	1317.9	24.05	25.72	38.42	i.t	1480.87	1589.26	1.84	0.95	-23.7
28th Jan	ANANDRATHI	ANANDRATHI	2879.5	28.59	51.61	68.36	financials	3031.89	3019.57	-0.731	-2.7	-7.48
28th Jan	STARHEALTH	STARHEALTH	440.55	44.81	45.66	43.05	financials	443.17	455.49	3.61	3.62	-3.18
28th Jan	LATENTVIEW	LATENTVIEW	402.55	32.98	42.37	43.6	i.t	427.83	445.29	1.19	2.7	-12.24
28th Jan	SAPPHIRE	SAPPHIRE	189.85	28.91	27	32.44	consumer discretionary	214.03	235.01	4.43	2.68	-26.14
28th Jan	PAYTM	PAYTM	1177	36.94	47.39	57.44	i.t	1261.4	1278.95	2.81	3.35	-9.38
28th Jan	POLICYBZR	POLICYBZR	1653.1	40.15	42.6	53.25	i.t	1707.63	1759.48	1.43	-1.24	-9.45
28th Jan	NYKAA	NYKAA	237.2	30.41	47.85	53.8	i.t	248.62	252.34	0.296	1.07	-10.54
28th Jan	ABSLAMC	ABSLAMC	780.1	45.45	49.46	56.4	financials	795.88	789.76	0.122	-0.051	-3.12
28th Jan	VIJAYA	VIJAYA	955.9	36.68	43	53.96	healthcare	995.15	1006.74	-1.29	-4.05	-9.91
28th Jan	APTUS	APTUS	273.1	48.2	40.13	40.85	financials	272.55	281.69	2.09	5.16	-2.15
28th Jan	DEVYANI	DEVYANI	114.42	27.08	31.32	37.38	consumer discretionary	128.29	136.73	2.43	-0.148	-22.66
28th Jan	ALIVUS	ALIVUS	932.7	62.65	50.7	51.55	healthcare	890.16	898.4	5.01	5.57	1.76
28th Jan	ETERNAL	ETERNAL	266.3	41.68	39.86	56.24	i.t	277.84	288.25	4.9	2.94	-4.23
28th Jan	CLEAN	CLEAN	859	42.96	26.29	35.48	chemicals	866.36	901.82	0.433	0.532	-1.95
28th Jan	KIMS	KIMS	609.65	44.93	39.82	54.62	healthcare	617.51	642.43	-0.87	4.73	0.172
28th Jan	SHYAMMETL	SHYAMMETL	836.2	55.76	47.97	56.26	metals & mining	813.41	827.13	4.64	7.33	-1.35
28th Jan	SONACOMS	SONACOMS	494.1	60.54	54.62	47.41	auto	469.76	474.05	1.29	8.33	3.07
28th Jan	LODHA	LODHA	929.1	28.54	30.73	41.99	realty	1015.09	1072.94	2.41	3.2	-12.46
28th Jan	KALYANKJIL	KALYANKJIL	367.95	17.89	26.66	43.05	consumer discretionary	441.14	468.91	-0.258	0.204	-24.19
28th Jan	CRAFTSMAN	CRAFTSMAN	7780	56.57	63.21	70.36	auto	7535.92	7316.3	2.77	8.08	1.18
28th Jan	JUBLINGREA	JUBLINGREA	633.9	36.59	40.71	49.87	chemicals	674.92	688.48	1.98	-0.736	-9.89
28th Jan	RAILTEL	RAILTEL	346.95	50.77	47.49	50.4	telecom-service	344.16	348.78	4.88	5.71	-6.62
28th Jan	HOMEFIRST	HOMEFIRST	1190.9	61.27	52.02	57.3	financials	1106.63	1125.12	-4.86	7.02	8.05
28th Jan	IRFC	IRFC	120.15	50.5	47.24	49.68	financials	119.64	120.33	4.83	5.26	-3.59
28th Jan	GLAND	GLAND	1689.7	47.61	40.92	47.55	healthcare	1696.79	1730.93	0.823	0.428	-1.88
28th Jan	MAZDOCK	MAZDOCK	2505.6	54.35	44.74	55.97	aerospace & defence	2436.63	2521.66	7.3	8.85	0.618
28th Jan	UTIAMC	UTIAMC	991.8	32.39	31.31	45.61	financials	1061.18	1116.77	3.53	1.76	-12.19
28th Jan	ANGELONE	ANGELONE	2615.1	55.62	52.51	52.9	financials	2532.26	2529.73	2.83	3.98	11.57
28th Jan	CAMS	CAMS	709.4	43.66	41.53	49.26	financials	721.08	741.34	1.68	4.42	-4.25
28th Jan	ROUTE	ROUTE	600.95	35.01	25.45	26.61	i.t	641.87	676.76	4.61	0.092	-14.37
28th Jan	HAPPSTMNDS	HAPPSTMNDS	404.25	23.01	19.81	26.78	i.t	432.33	462.56	-0.234	-0.468	-12.2
28th Jan	MAXHEALTH	MAXHEALTH	958.6	26.54	33.66	49.5	healthcare	1017.88	1059.46	-1.73	-3.31	-8.28
28th Jan	POWERINDIA	POWERINDIA	17683	48.53	47.12	59.19	industrials	17549.54	18429.13	5.83	7.16	-3.42
28th Jan	SBICARD	SBICARD	782.4	31.85	35.21	47.13	financials	825.58	849.61	1.48	1.54	-9.2
28th Jan	COHANCE	COHANCE	381.5	13.9	15.52	30.24	healthcare	441.48	527.12	1.73	-0.026	-27.83
28th Jan	SUMICHEM	SUMICHEM	401.6	30.93	31.59	41.54	chemicals	434.25	454.85	-0.742	-4.12	-14.73
28th Jan	FLUOROCHEM	FLUOROCHEM	3015.2	18.35	30.55	43.73	chemicals	3333.09	3448.53	0.1	-3.58	-17.76
28th Jan	IRCTC	IRCTC	625.1	40.33	32.27	37.88	transportation	639.57	663.49	2.9	1.18	-8.69
28th Jan	360ONE	360ONE	1139.9	48.67	51.87	60.74	financials	1143.83	1142.27	2.35	2.48	-4.21
28th Jan	SWSOLAR	SWSOLAR	189.12	39	32.29	33.56	realty	199.17	211.4	3.05	2.26	-11.7
28th Jan	AFFLE	AFFLE	1561.6	28.19	35.64	49.6	i.t	1674.85	1723.7	1.53	-1.15	-13.22
28th Jan	INDIAMART	INDIAMART	2186.3	47.52	39.77	42.83	i.t	2199.98	2251.92	0	-0.351	-1.67
28th Jan	KPITTECH	KPITTECH	1105.8	35.41	38.56	43.61	i.t	1150.71	1175.89	0.127	-0.781	-5.69
28th Jan	POLYCAB	POLYCAB	6928	39.06	45.23	57.16	industrials	7240.8	7366.78	2.39	3.06	-9.07
28th Jan	METROPOLIS	METROPOLIS	1830.8	40.13	40.61	48.95	healthcare	1892.55	1919.1	0.274	0.96	-5.09
28th Jan	RVNL	RVNL	342.5	54.46	50.26	51.42	realty	334.3	333.73	5.74	5.34	-4.13
28th Jan	CHALET	CHALET	824.25	34.62	38.6	51.68	services	855.97	877.99	0.703	0.512	-5.32
28th Jan	TECHNOE	TECHNOE	942.5	37.12	31.69	43.78	realty	984.63	1076.25	4.33	5.5	-12.9
