Date,Symbol,Stocks,Cmp,Drsi,Wrsi,Mrsi,Sector,Ema20,Ema50,Latest change,Weekly change ,Monthly change
"6th Jan","IXIGO","IXIGO","234.95","35.73","45.36","60.68","i.t","251.00","261.27","0.686","-2.75","-7.84"
"6th Jan","AWFIS","AWFIS","485","38.93","34.86","52.47","miscellaneous","500.02","526.05","-0.144","-1.80","-1.58"
"6th Jan","GODIGIT","GODIGIT","342.85","44.76","48.08","55.03","financials","346.05","348.80","-2.00","-1.01","-0.508"
"6th Jan","TBOTEK","TBOTEK","1616.40","42.87","53.77","55.09","i.t","1658.59","1636.64","-1.89","-1.33","-2.78"
"6th Jan","AADHARHFC","AADHARHFC","499.70","57.79","54.03","63.29","financials","489.03","491.97","-0.705","-0.170","3.02"
"6th Jan","INDGN","INDGN","522.60","46.35","41.79","49.55","healthcare","524.83","530.10","0.355","0.010","0.413"
"6th Jan","BHARTIHEXA","BHARTIHEXA","1788.60","50.99","53.16","68.86","telecom-service","1787.58","1777.64","-1.06","-0.749","-1.82"
"6th Jan","SCILAL","SCILAL","47.24","49.45","42.47","51.67","services","47.15","47.90","0.191","-2.03","0.962"
"6th Jan","GOPAL","GOPAL","320.60","51.59","43.11","45.99","fmcg","317.51","326.44","0.219","0.360","2.26"
"6th Jan","JUNIPER","JUNIPER","246.95","44.02","40.95","31.75","services","252.17","255.31","-1.32","-2.22","-2.92"
"6th Jan","ENTERO","ENTERO","1193.10","74.45","55.96","53.24","healthcare","1046.62","1057.44","7.24","6.19","16.22"
"6th Jan","RPTECH","RPTECH","398.35","81.44","73.92","59.42","services","354.74","341.24","4.84","10.41","10.98"
"6th Jan","JSFB","JSFB","420.15","41.79","39.76","46.31","bank","427.76","440.20","-3.11","-0.779","-1.21"
"6th Jan","PARKHOTELS","PARKHOTELS","134.95","48.58","38.17","32.99","services","134.82","138.33","-0.509","-0.096","0.671"
"6th Jan","EPACK","EPACK","285.85","53.58","41.34","50.76","consumer discretionary","279.84","290.07","-0.366","1.69","1.28"
"6th Jan","MEDIASSIST","MEDIASSIST","452.60","45.19","41.95","46.88","miscellaneous","458.52","476.00","-1.27","-3.23","-1.49"
"6th Jan","JYOTICNC","JYOTICNC","981.90","54.01","50.67","55.61","industrials","973.97","962.85","-0.178","-1.21","-0.748"
"6th Jan","INNOVACAP","INNOVACAP","730.95","52.66","39.00","51.91","healthcare","721.14","742.36","-0.307","0.800","1.51"
"6th Jan","SUNCLAY","SUNCLAY","1268.70","52.47","33.06","42.70","industrials","1243.11","1319.99","3.10","1.03","3.69"
"6th Jan","AZAD","AZAD","1649.80","51.59","52.27","63.10","aerospace & defence","1640.47","1637.13","-2.34","-0.181","-0.181"
"6th Jan","HAPPYFORGE","HAPPYFORGE","1172","72.40","73.66","59.99","industrials","1111.51","1063.10","0.128","-1.16","1.99"
"6th Jan","MUTHOOTMF","MUTHOOTMF","185.35","58.77","58.74","47.06","financials","178.21","175.72","-1.40","5.09","4.93"
"6th Jan","INOXINDIA","INOXINDIA","1139.70","51.23","48.32","57.27","industrials","1129.98","1149.31","1.46","0.787","0.494"
"6th Jan","DOMS","DOMS","2641.70","58.46","54.74","66.90","miscellaneous","2589.02","2563.54","-0.748","-1.20","1.01"
