Date,Symbol,Stocks,Cmp,Drsi,Wrsi,Mrsi,Sector,Ema20,Ema50,Latest change,Weekly change,Monthly change
"8th Jan","GMDCLTD","GMDCLTD","567.75","50.83","56.45","65.75","metals & mining","571.38","554.52","-6.48","-8.35","-5.18"
"8th Jan","ENGINERSIN","ENGINERSIN","197.53","45.73","47.68","52.64","realty","200.83","199.89","-3.51","-4.30","-1.84"
"8th Jan","CYIENT","CYIENT","1180.60","59.73","48.89","41.80","i.t","1141.33","1148.99","0.314","6.75","5.62"
"8th Jan","ICICIBANK","ICICIBANK","1435","72.34","58.48","65.22","bank","1376.04","1374.41","0.511","5.87","6.86"
"8th Jan","SAREGAMA","SAREGAMA","367.25","50.28","33.52","41.42","media","362.75","384.09","-2.73","2.60","4.63"
"8th Jan","GAIL","GAIL","163.53","32.70","37.92","45.82","energy","170.81","173.67","-2.94","-6.76","-5.01"
"8th Jan","BANKINDIA","BANKINDIA","146.93","55.75","64.40","63.60","bank","145.15","141.45","-3.01","-1.53","2.14"
"8th Jan","WELCORP","WELCORP","765.85","36.37","40.28","53.09","industrials","803.40","828.39","-3.14","-5.02","-5.96"
"8th Jan","BANKBARODA","BANKBARODA","299.55","56.40","66.42","68.07","bank","296.12","287.53","-2.82","-1.80","1.23"
"8th Jan","POLYMED","POLYMED","1776.90","45.28","37.02","46.30","healthcare","1796.71","1853.02","-1.33","0.407","0.180"
"8th Jan","MARICO","MARICO","758.80","56.30","60.99","65.85","fmcg","751.06","738.87","-1.94","0.139","1.09"
"8th Jan","CGCL","CGCL","184.90","50.70","49.43","46.34","financials","183.95","186.32","0.190","-0.173","1.13"
"8th Jan","CONCOR","CONCOR","518.50","50.39","44.00","42.12","transportation","518.98","520.28","-2.68","-2.50","-1.23"
"8th Jan","MANAPPURAM","MANAPPURAM","309.50","58.81","66.53","70.22","financials","302.61","292.27","-3.25","-0.530","0.308"
"8th Jan","EMAMILTD","EMAMILTD","516.05","43.32","41.07","44.34","fmcg","524.75","530.25","-1.96","-1.24","-2.37"
"8th Jan","IOC","IOC","156.37","35.80","51.17","56.94","energy","163.30","162.26","-3.87","-6.25","-6.06"
"8th Jan","JUBLPHARMA","JUBLPHARMA","1074.50","49.99","49.01","59.18","healthcare","1071.64","1082.92","-0.325","1.81","0.112"
"8th Jan","JKTYRE","JKTYRE","506.85","62.14","74.26","66.85","auto","494.10","465.88","-1.04","-0.919","0.826"
"8th Jan","INDIACEM","INDIACEM","476.20","72.39","76.04","73.37","building materials","440.44","421.07","4.38","6.92","9.41"
"8th Jan","BLUEDART","BLUEDART","5393","41.10","40.44","40.19","transportation","5522.67","5623.67","-1.35","-3.58","-2.32"
"8th Jan","NMDC","NMDC","81.59","53.91","60.69","61.67","metals & mining","81.20","78.47","-5.30","-3.48","-1.90"
"8th Jan","MPHASIS","MPHASIS","2817.20","47.05","51.64","55.30","i.t","2839.80","2830.73","-2.00","0.356","0.931"
"8th Jan","NATCOPHARM","NATCOPHARM","909.70","51.68","52.97","48.07","healthcare","908.11","889.85","-3.85","1.86","0.736"
"8th Jan","AUROPHARMA","AUROPHARMA","1206.10","51.01","55.72","54.75","healthcare","1206.39","1187.81","-2.37","-0.765","1.95"
"8th Jan","CAPLIPOINT","CAPLIPOINT","1818.90","40.17","38.09","52.15","healthcare","1878.34","1926.92","-2.03","-1.62","-1.04"
"8th Jan","SUNPHARMA","SUNPHARMA","1760.70","52.12","55.83","57.44","healthcare","1752.43","1743.96","-1.23","1.89","2.38"
"8th Jan","NEULANDLAB","NEULANDLAB","14820","40.17","47.71","61.41","healthcare","15390.12","15771.30","-2.08","-2.99","-2.34"
"8th Jan","IPCALAB","IPCALAB","1544","68.09","60.87","59.19","healthcare","1442.97","1416.39","1.97","9.97","8.82"
"8th Jan","RCF","RCF","141.80","46.84","45.77","48.74","chemicals","143.43","144.17","-2.00","-4.95","-3.04"
"8th Jan","AARTIIND","AARTIIND","368.65","45.51","41.35","38.11","chemicals","373.16","376.14","-1.93","-2.20","-1.40"
"8th Jan","POONAWALLA","POONAWALLA","460.50","43.81","50.54","57.85","financials","470.27","470.12","-2.10","-4.17","-4.65"
"8th Jan","MASTEK","MASTEK","2064.80","38.99","36.56","43.24","i.t","2125.88","2169.92","-2.78","-2.43","0.678"
"8th Jan","PIIND","PIIND","3245.50","42.60","35.55","43.91","chemicals","3273.96","3376.15","-1.17","-0.341","0.225"
"8th Jan","ITI","ITI","303.60","42.63","47.90","53.96","aerospace & defence","309.10","310.89","-2.10","-2.71","-2.02"
"8th Jan","SCI","SCI","217.91","41.95","47.03","53.37","transportation","226.11","229.55","-4.65","-7.30","-5.98"
"8th Jan","LINDEINDIA","LINDEINDIA","5878","45.92","40.74","47.32","chemicals","5930.72","5973.69","-1.51","-1.30","-1.30"
"8th Jan","JMFINANCIL","JMFINANCIL","141.98","43.02","43.93","55.28","financials","145.71","149.75","-3.21","-4.75","-5.41"
"8th Jan","3MINDIA","3MINDIA","34830","48.16","59.73","58.65","miscellaneous","35140.88","34352.78","-0.129","-3.70","-0.812"
"8th Jan","DCMSHRIRAM","DCMSHRIRAM","1183.50","37.91","45.74","53.00","miscellaneous","1234.58","1234.31","-3.17","-5.86","-5.48"
"8th Jan","KPIL","KPIL","1136.60","37.68","42.48","53.78","realty","1181.37","1198.32","-3.16","-5.03","-5.47"
"8th Jan","GVT&D","GVT&D","3002.60","47.51","57.49","73.53","industrials","3055.38","3002.74","-4.69","-2.94","-4.15"
"8th Jan","PRAJIND","PRAJIND","315.90","42.95","32.72","37.41","industrials","324.60","332.43","-1.85","-2.93","-2.08"
"8th Jan","TIMKEN","TIMKEN","2981","42.37","46.87","48.28","industrials","3039.94","3049.27","-1.67","-2.35","-0.736"
"8th Jan","ELGIEQUIP","ELGIEQUIP","456.60","39.16","42.25","43.69","industrials","474.00","481.77","-3.27","-5.62","-3.62"
"8th Jan","ALOKINDS","ALOKINDS","16.10","46.86","38.15","41.78","textiles","16.16","16.56","1.45","-0.984","0.437"
"8th Jan","TRIDENT","TRIDENT","27.11","49.38","41.07","42.17","textiles","27.01","27.54","3.32","0.296","1.42"
"8th Jan","CCL","CCL","925.45","42.63","52.43","62.76","fmcg","948.61","950.54","-0.586","1.06","-1.99"
"8th Jan","KEI","KEI","4404.40","55.63","60.87","64.26","industrials","4371.88","4245.95","-2.95","-2.76","-1.25"
"8th Jan","HAVELLS","HAVELLS","1483.70","63.22","49.84","48.68","consumer discretionary","1442.91","1448.25","-0.835","3.04","4.13"
"8th Jan","MOTHERSON","MOTHERSON","118.11","48.84","62.48","60.92","auto","119.31","115.44","-1.04","-3.22","-1.53"
"8th Jan","HBLENGINE","HBLENGINE","911.10","52.68","58.24","69.32","auto","902.95","889.22","-4.79","-2.82","-1.67"
"8th Jan","HONAUT","HONAUT","33730","46.26","39.98","40.67","consumer discretionary","33813.69","34551.96","-1.08","0.312","2.82"
"8th Jan","USHAMART","USHAMART","450.25","51.25","60.00","61.65","metals & mining","449.39","444.49","-0.804","-0.233","-0.826"
"8th Jan","ANANTRAJ","ANANTRAJ","571.10","52.03","48.29","54.51","realty","563.98","574.26","-3.46","-2.22","4.35"
"8th Jan","ASAHIINDIA","ASAHIINDIA","976.10","46.63","61.17","68.36","building materials","994.01","981.60","-3.14","-1.61","-3.83"
"8th Jan","WELSPUNLIV","WELSPUNLIV","126.73","38.14","46.68","48.69","textiles","132.42","132.39","-2.18","-4.30","-2.94"
"8th Jan","NLCINDIA","NLCINDIA","258.80","53.93","54.12","57.20","power & utilities","255.77","252.74","-4.02","-4.85","3.43"
"8th Jan","HINDCOPPER","HINDCOPPER","520.75","67.68","80.55","74.35","metals & mining","474.50","409.20","-5.53","-3.90","0.473"
"8th Jan","MMTC","MMTC","65.76","57.48","52.29","50.34","services","63.40","62.71","-3.27","-2.29","-2.19"
"8th Jan","CARBORUNIV","CARBORUNIV","818.20","36.12","36.99","37.23","industrials","848.48","866.88","-0.644","-4.81","-4.40"
"8th Jan","NAVA","NAVA","585.70","56.66","51.41","59.94","miscellaneous","572.51","573.20","-2.84","2.14","3.23"
"8th Jan","ADANIENT","ADANIENT","2214","41.42","40.52","44.06","services","2256.06","2307.93","-2.64","-2.89","-1.15"
"8th Jan","LLOYDSME","LLOYDSME","1286.80","45.65","47.80","58.01","metals & mining","1318.45","1305.35","-3.80","-4.60","-2.61"
"8th Jan","UPL","UPL","794.50","61.32","67.05","63.68","chemicals","781.07","757.35","-1.05","-1.26","-0.082"
"8th Jan","CHOLAFIN","CHOLAFIN","1754","55.29","59.84","66.11","financials","1729.02","1701.34","-1.82","-1.52","3.04"
"8th Jan","SHRIRAMFIN","SHRIRAMFIN","992.90","70.68","79.91","74.87","financials","950.70","873.65","-0.296","-1.73","-0.331"
"8th Jan","CANFINHOME","CANFINHOME","895.15","42.80","59.71","59.49","financials","922.51","897.21","-3.38","-4.81","-3.75"
"8th Jan","SUPREMEIND","SUPREMEIND","3557.40","58.24","42.17","45.04","plastic products","3454.76","3561.78","-1.92","0.659","6.07"
"8th Jan","HEG","HEG","599","59.28","61.93","59.19","industrials","583.22","555.65","-3.16","-3.34","-3.98"
"8th Jan","GRAPHITE","GRAPHITE","645.55","65.22","64.81","58.41","industrials","609.12","582.95","-2.47","-2.14","0.600"
"8th Jan","BERGEPAINT","BERGEPAINT","519.70","36.87","42.23","47.81","building materials","535.99","543.32","-1.23","-0.840","-3.14"
"8th Jan","APOLLOHOSP","APOLLOHOSP","7364.50","59.13","50.57","58.73","healthcare","7183.22","7279.30","-1.11","3.30","4.57"
"8th Jan","GILLETTE","GILLETTE","7983.50","40.60","37.61","47.55","fmcg","8193.00","8466.05","-1.55","-2.73","-4.53"
"8th Jan","WIPRO","WIPRO","262.20","50.25","55.30","53.76","i.t","263.70","257.72","-3.18","-2.53","-0.410"
"8th Jan","JBCHEPHARM","JBCHEPHARM","1911","69.78","65.47","64.05","healthcare","1834.87","1795.28","-1.14","3.27","5.02"
"8th Jan","ASTRAZEN","ASTRAZEN","8418.50","31.44","42.11","57.14","healthcare","8808.78","8969.21","-0.543","-2.13","-6.76"
"8th Jan","ALKYLAMINE","ALKYLAMINE","1607.50","48.17","35.11","40.21","chemicals","1600.74","1681.46","4.50","0.025","0.714"
